Rank,Name,Country,Industry,Reg_1,Reg_2,Reg_3,
226,Georg Schaeffler,Germany,Industrial,,,,
227,Rinat Akhmetov,Ukraine,Industrial,P4-RLA,,,
228,Blair Parry-Okeden,United States,Media & Telecom,,,,
229,Jim Kennedy,United States,Media & Telecom,,,,
230,Suleiman Kerimov,Russia,Commodities,VP-BBW,VP-BBZ,,
231,Brian Kim,Korea,Technology,,,,
232,Shu Ping,Singapore,Food & Beverage,,,,
233,Evan Spiegel,United States,Technology,,,,
234,Michael Platt,United Kingdom,Finance,,,,
235,Qi Shi,China,Finance,,,,
236,Zhang Yong,Singapore,Food & Beverage,,,,
237,Jay Chaudhry,United States,Technology,,,,
238,Anthony Pratt,Australia,Industrial,,,,
239,Johann Graf,Austria,Entertainment,,,,
240,Dietmar Hopp,Germany,Technology,,,,
241,Michael Otto,Germany,Retail,,,,
242,Antonia Axson Johnson,Sweden,Industrial,,,,
243,George Roberts,United States,Finance,,,,
244,Nathan Blecharczyk,United States,Services,,,,
245,Joe Gebbia,United States,Services,,,,
246,Gianluigi Aponte,Switzerland,Services,,,,
247,John Fredriksen,Cyprus,Industrial,,,,
248,Yao Liangsong,China,Retail,,,,
249,Giorgio Armani,Italy,Consumer,,,,
250,Sarath Ratanavadi,Thailand,Energy,,,,
251,Henry Kravis,United States,Finance,,,,
252,Christy Walton,United States,Retail,,,,
253,Luis Sarmiento,Colombia,Finance,,,,
254,Cai Kui,China,Real-Estate,,,,
255,Stan Kroenke,United States,Real-Estate,,,,
256,Niels Louis-Hansen,Denmark,Health Care,,,,
257,Les Wexner,United States,Retail,,,,
258,Sunil Mittal,India,Media & Telecom,,,,
259,Tobi Lutke,Canada,Technology,,,,
260,Alberto Bailleres,Mexico,Commodities,XA-BAL,,,
261,Tito Beveridge,United States,Consumer,,,,
262,Anthony Bamford & Family,United Kingdom,Industrial,,,,
263,Tim Sweeney,United States,Technology,,,,
264,Zhao Yan,China,Health Care,,,,
